dataset_id,movie_name,trial_idx,n_frames,trial_duration_s,frame_rate_hz,trial_start,trial_end
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,2,600,9.9621,60.22826512482308,12804987,13004229
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,3,600,9.97,60.18054162487462,13004229,13203629
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,4,600,9.9701,60.17993801466384,13203629,13403031
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,5,600,10.0015,59.99100134979753,13403031,13603061
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,6,600,9.9855,60.087126333183114,13603061,13802771
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,7,600,9.97665,60.140427899144505,13802771,14002304
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,8,600,9.97655,60.14103071703144,14002304,14201835
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,9,600,9.99005,60.05975946066336,14201835,14401636
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,10,600,9.9726,60.16485169364058,14401636,14601088
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,11,600,9.97925,60.12475887466493,14601088,14800673
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,12,600,9.9711,60.173902578451724,14800673,15000095
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,13,600,9.9608,60.236125612400606,15000095,15199311
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,14,600,9.95915,60.24610534031519,15199311,15398494
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,15,600,9.9656,60.20711246688609,15398494,15597806
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,16,600,9.94495,60.33212836665845,15597806,15796705
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,17,600,9.9543,60.27545884693047,15796705,15995791
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,18,600,9.97165,60.17058360451881,15995791,16195224
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,19,600,9.96735,60.196541708678836,16195224,16394571
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,20,600,9.95995,60.24126627141703,16394571,16593770
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,21,600,9.96785,60.19352217378873,16593770,16793127
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,22,600,9.9622,60.22766055690511,16793127,16992371
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,23,600,9.97085,60.17541132400949,16992371,17191788
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,24,600,9.99225,60.046536065450724,17191788,17391633
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,25,600,9.97355,60.15912087471362,17391633,17591104
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,26,600,9.98915,60.065170710220585,17591104,17790887
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,27,600,9.9646,60.21315456716777,17790887,17990179
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,28,600,9.97395,60.15670822492593,17990179,18189658
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_30x,29,600,9.97935,60.12415638293075,18189658,18389245
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_3x,0,600,9.95345,60.28060622196324,547482,746551
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_3x,1,600,9.9626,60.225242406600685,746551,945803
2024.02.26-13.44.15-Rec,step_up_5s_5i_b0_3x,2,600,9.9782,60.13108576697201,945803,1145367
2024.02.26-14.21.41-Rec,baseline_127,0,180,2.9868,60.26516673362796,287567,347303
2024.02.26-14.21.41-Rec,freq_step_5st_3x,0,1500,24.95665,60.104220718726275,2253694,2752827
2024.02.26-14.21.41-Rec,freq_step_5st_3x,1,1500,24.902,60.236125612400606,2752827,3250867
2024.02.26-14.21.41-Rec,freq_step_5st_3x,2,1500,24.91805,60.197326837372906,3250867,3749228
2024.02.26-14.21.41-Rec,green_blue_3s_3i_3x,0,720,11.96675,60.16671193097542,1365836,1605171
2024.02.26-14.21.41-Rec,green_blue_3s_3i_3x,1,720,11.97035,60.148617208352306,1605171,1844578
2024.02.26-14.21.41-Rec,green_blue_3s_3i_3x,2,720,11.9596,60.20268236395866,1844578,2083770
2024.02.26-14.21.41-Rec,iprgc_test,0,0,120.0,0.0,18739726,21139726
2024.02.26-14.21.41-Rec,iprgc_test,1,0,120.0,0.0,21171464,23571464
2024.02.26-14.21.41-Rec,moving_h_bar_s5_d8_3x,0,4520,75.1427,60.152217048362644,3991578,5494432
2024.02.26-14.21.41-Rec,moving_h_bar_s5_d8_3x,1,4520,75.05725,60.22069820037372,5494432,6995577
2024.02.26-14.21.41-Rec,moving_h_bar_s5_d8_3x,2,4520,75.0675,60.212475438771776,6995577,8496927
2024.02.26-14.21.41-Rec,perfect_dense_noise_15x15_15hz_r42_3min,0,10800,179.4106,60.19711209928511,8620031,12208243
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,0,600,9.9929,60.04263026748991,12428058,12627916
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,1,600,9.99355,60.038724977610556,12627916,12827787
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,2,600,9.985,60.09013520280421,12827787,13027487
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,3,600,9.98425,60.09464907228886,13027487,13227172
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,4,600,9.97945,60.12355390327122,13227172,13426761
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,5,600,9.9896,60.06246496356211,13426761,13626553
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,6,600,10.0089,59.94664748373947,13626553,13826731
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,7,600,9.99415,60.035120545519135,13826731,14026614
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,8,600,9.96065,60.23703272376803,14026614,14225827
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,9,600,9.9922,60.04683653249534,14225827,14425671
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,10,600,9.98515,60.08923251027776,14425671,14625374
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,11,600,9.96845,60.189899131760704,14625374,14824743
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,12,600,9.977,60.13831813170292,14824743,15024283
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,13,600,9.9826,60.10458197263238,15024283,15223935
2024.02.26-14.21.41-Rec,step_up_5s_5i_b0_30x,14,600,9.9833,60.10036761391524,15223935,15423601
