dataset_id,direction,rep_idx,start_frame_rel,end_frame_rel,start_frame_abs,end_frame_abs,n_frames,duration_samples_approx,duration_s_approx,movie_start_frame
2024.03.01-10.28.08-Rec,180,1,7099,7139,17843,17883,40,13701,0.68505,10744
2024.03.01-10.28.08-Rec,180,2,11619,11659,22363,22403,40,13701,0.68505,10744
2024.03.01-10.28.08-Rec,225,0,3001,3041,13745,13785,40,13701,0.68505,10744
2024.03.01-10.28.08-Rec,225,1,7521,7561,18265,18305,40,13701,0.68505,10744
2024.03.01-10.28.08-Rec,225,2,12041,12081,22785,22825,40,13701,0.68505,10744
2024.03.01-10.28.08-Rec,270,0,3432,3472,14176,14216,40,13701,0.68505,10744
2024.03.01-10.28.08-Rec,270,1,7952,7992,18696,18736,40,13701,0.68505,10744
2024.03.01-10.28.08-Rec,270,2,12472,12512,23216,23256,40,13701,0.68505,10744
2024.03.01-10.28.08-Rec,315,0,4316,4356,15060,15100,40,13701,0.68505,10744
2024.03.01-10.28.08-Rec,315,1,8836,8876,19580,19620,40,13701,0.68505,10744
2024.03.01-10.28.08-Rec,315,2,13356,13396,24100,24140,40,13701,0.68505,10744
2024.03.01-10.28.08-Rec,45,0,940,980,11684,11724,40,13701,0.68505,10744
2024.03.01-10.28.08-Rec,45,1,5460,5500,16204,16244,40,13701,0.68505,10744
2024.03.01-10.28.08-Rec,45,2,9980,10020,20724,20764,40,13701,0.68505,10744
2024.03.01-10.28.08-Rec,90,0,1719,1759,12463,12503,40,13701,0.68505,10744
2024.03.01-10.28.08-Rec,90,1,6239,6279,16983,17023,40,13701,0.68505,10744
2024.03.01-10.28.08-Rec,90,2,10759,10799,21503,21543,40,13701,0.68505,10744
2024.03.01-11.09.01-Rec,0,0,360,400,11104,11144,40,13706,0.6853,10744
2024.03.01-11.09.01-Rec,0,1,4880,4920,15624,15664,40,13706,0.6853,10744
2024.03.01-11.09.01-Rec,0,2,9400,9440,20144,20184,40,13706,0.6853,10744
2024.03.01-11.09.01-Rec,135,0,1910,1950,12654,12694,40,13706,0.6853,10744
2024.03.01-11.09.01-Rec,135,1,6430,6470,17174,17214,40,13706,0.6853,10744
2024.03.01-11.09.01-Rec,135,2,10950,10990,21694,21734,40,13706,0.6853,10744
2024.03.01-11.09.01-Rec,180,0,2591,2631,13335,13375,40,13706,0.6853,10744
2024.03.01-11.09.01-Rec,180,1,7111,7151,17855,17895,40,13706,0.6853,10744
2024.03.01-11.09.01-Rec,180,2,11631,11671,22375,22415,40,13706,0.6853,10744
2024.03.01-11.09.01-Rec,225,0,3264,3304,14008,14048,40,13706,0.6853,10744
2024.03.01-11.09.01-Rec,225,1,7784,7824,18528,18568,40,13706,0.6853,10744
2024.03.01-11.09.01-Rec,225,2,12304,12344,23048,23088,40,13706,0.6853,10744
2024.03.01-11.09.01-Rec,270,0,3590,3630,14334,14374,40,13706,0.6853,10744
2024.03.01-11.09.01-Rec,270,1,8110,8150,18854,18894,40,13706,0.6853,10744
2024.03.01-11.09.01-Rec,270,2,12630,12670,23374,23414,40,13706,0.6853,10744
2024.03.01-11.09.01-Rec,315,0,4231,4271,14975,15015,40,13706,0.6853,10744
2024.03.01-11.09.01-Rec,315,1,8751,8791,19495,19535,40,13706,0.6853,10744
2024.03.01-11.09.01-Rec,315,2,13271,13311,24015,24055,40,13706,0.6853,10744
2024.03.01-11.09.01-Rec,45,0,677,717,11421,11461,40,13706,0.6853,10744
2024.03.01-11.09.01-Rec,45,1,5197,5237,15941,15981,40,13706,0.6853,10744
2024.03.01-11.09.01-Rec,45,2,9717,9757,20461,20501,40,13706,0.6853,10744
2024.03.01-11.09.01-Rec,90,0,1451,1491,12195,12235,40,13706,0.6853,10744
2024.03.01-11.09.01-Rec,90,1,5971,6011,16715,16755,40,13706,0.6853,10744
2024.03.01-11.09.01-Rec,90,2,10491,10531,21235,21275,40,13706,0.6853,10744
2024.03.01-13.13.16-Rec,0,0,380,420,11124,11164,40,13714,0.6857,10744
2024.03.01-13.13.16-Rec,0,1,4900,4940,15644,15684,40,13714,0.6857,10744
2024.03.01-13.13.16-Rec,0,2,9420,9460,20164,20204,40,13714,0.6857,10744
2024.03.01-13.13.16-Rec,135,0,2118,2158,12862,12902,40,13714,0.6857,10744
2024.03.01-13.13.16-Rec,135,1,6638,6678,17382,17422,40,13714,0.6857,10744
2024.03.01-13.13.16-Rec,135,2,11158,11198,21902,21942,40,13714,0.6857,10744
2024.03.01-13.13.16-Rec,180,0,2571,2611,13315,13355,40,13714,0.6857,10744
2024.03.01-13.13.16-Rec,180,1,7091,7131,17835,17875,40,13714,0.6857,10744
2024.03.01-13.13.16-Rec,180,2,11611,11651,22355,22395,40,13714,0.6857,10744
2024.03.01-13.13.16-Rec,225,0,3137,3177,13881,13921,40,13714,0.6857,10744
2024.03.01-13.13.16-Rec,225,1,7657,7697,18401,18441,40,13714,0.6857,10744
2024.03.01-13.13.16-Rec,225,2,12177,12217,22921,22961,40,13714,0.6857,10744
2024.03.01-13.13.16-Rec,270,0,3916,3956,14660,14700,40,13714,0.6857,10744
2024.03.01-13.13.16-Rec,270,1,8436,8476,19180,19220,40,13714,0.6857,10744
2024.03.01-13.13.16-Rec,270,2,12956,12996,23700,23740,40,13714,0.6857,10744
2024.03.01-13.13.16-Rec,315,0,4133,4173,14877,14917,40,13714,0.6857,10744
2024.03.01-13.13.16-Rec,315,1,8653,8693,19397,19437,40,13714,0.6857,10744
2024.03.01-13.13.16-Rec,315,2,13173,13213,23917,23957,40,13714,0.6857,10744
2024.03.01-13.13.16-Rec,45,0,804,844,11548,11588,40,13714,0.6857,10744
2024.03.01-13.13.16-Rec,45,1,5324,5364,16068,16108,40,13714,0.6857,10744
2024.03.01-13.13.16-Rec,45,2,9844,9884,20588,20628,40,13714,0.6857,10744
2024.03.01-13.13.16-Rec,90,0,1235,1275,11979,12019,40,13714,0.6857,10744
2024.03.01-13.13.16-Rec,90,1,5755,5795,16499,16539,40,13714,0.6857,10744
